index,部屋,風呂,料理（朝食）,料理（夕食）,接客・サービス,清潔感,見出し,本文
11,5,5,5,5,4,5,露天風呂付きのお部屋、最高でした,4世代13名で宿泊しました。大人数のため、食事の際に周りのお客様にご迷惑になるかな…と心配していたのですが、お宿の方が個室宴会場をご用意くださり、みんなでワイワイ存分にお食事を楽しませて頂きました。お部屋に露天風呂がついているプランにして大正解でした。小さい子供もいたので大浴場に行くタイミングをみんなで見計らう、などすることなくお風呂が楽しめましたし、何より好きな時にのんびりお風呂を楽しめたのが最高でした。お部屋も広く、10人ぐらいでもお部屋タイムを楽しむこともできました。お食事の時も色々とお気遣い頂き、特に2日目の夕食の時に給仕してくださった方がとても気持ちのいいご接客で、大変満足でした。旅館ならではの時間を過ごせました。少し残念だった点は3つあります。1つ目は、給仕してくださった方の中に、少し機械的なご対応の方がいらっしゃったこと。2つ目は、子供用の浴衣のサイズ変更をお願いした時に「有料です」と言われたこと(初日とサイズが違ったので、と説明すると無料で変えて頂けました)。3つ目は、子供用のお食事プランでちょうどいいものがなかったこと(小学生も大人と同じ食事でしたが、内容と量の問題でたくさん残してしまい、もったいなかったです)。全体としては大満足でしたので、また利用させて頂きたいと思います。お世話になりました。ありがとうございました。
12,5,5,5,5,5,5,露天風呂付きのお部屋が最高でした！,夫婦で箱根旅行ということで初めてのこちらの旅館に宿泊しました。口コミが良かったのでこちらの旅館にしましたが口コミ以上に素晴らしい旅館でした！お部屋は露天風呂付き和洋室のお部屋にしましたが想像以上に部屋が広くて綺麗でやはりいつでも露天風呂に入れるのが最高ですね！夕食は部屋食で相州牛のコースにしましたが食べきれないくらいにボリュームがすごく大変美味しくいただきました！もちろん朝食もとてもオシャレ朝食で美味しかったです！ルーム係の方もとても親切で館内も綺麗でまたぜひ泊まりに行きたいお宿でした！！次は違うお部屋にも泊まってみたいです！！この度は素敵な思い出をありがとうございました！！
13,5,5,5,5,5,5,子連れでも、気を張ることなく温泉を堪能,生後1歳の子供と出かけるので、部屋に温泉と部屋食が付いているプランで検索し予約。部屋におむつ用ゴミ箱、ベビーソープ、バンボも用意してくださり、お部屋から出ることもないため、周りに気にせず温泉が楽しめます。お部屋もリニューアルしたてのようでキレイで、心地よく宿泊できました。他にも異なる部屋タイプがあるので、今度はそちらに泊まってみたいと思います。
14,4,5,3,3,5,5,部屋風呂最高、料理は美味しいが量が少ないかも,接客、お部屋、お風呂良かったです。特に部屋風呂はかなり広く温泉もお肌がすべすべになりました。また、子供用のバスやイスも貸して頂けるので、子連れの方はオススメ出来る宿です。一方ご飯は美味しかったのですが、量は少なく感じました。若い方が宿泊される場合、気になるかもしれません。バイキングのプランにすれば良かったのかもしれません。総じて宿泊は満足しました。ありがとうございました。
15,5,4,5,3,4,4,よかったです,部屋に入って少し下水の臭いがしましたが、トイレ内ではその臭いを感じることはなかったです。客室露天風呂で虫はすだれのおかげで少なくて快適でした！バスタオルと共に洗面台にハンドタオルがあればよかったなぁと(お風呂バック別場所にはハンドタオル有)食事は朝食バイキングにして正解。夕飯は部屋で食べましたが、お刺身はとても美味しかったです。その他は可もなく不可もなく。少し期待してしまいました。
16,4,5,5,5,4,5,両親を連れてののんびり旅行,今回は両親と一緒にゆっくり温泉を満喫したくて露天風呂付きのお部屋で､お食事もお部屋で頂けたのでとてもゆっくり楽しめて両親からも大変喜ばれました。お食事も大変美味しくてみんな大満足でした。
17,5,5,5,5,5,5,機会があればまた行きたい最高のホテル！！,ここ数年まともに旅行が出来ていなかったので、ちょっと贅沢にとこちらのホテルに宿泊させて頂きました。ホテルに入ると感動の嵐！！今回露天付き客室に泊まったのですが、まだ改装したばかりでお部屋は物凄く綺麗でした。お部屋の露天風呂もそれほど広くはありませんが、湯船は足を伸ばせるくらいの広さはあるのでのんびり入る事が出来ました。ただ冬は寒いかもしれないですね^_^;食事はお肉を色々味わえるコースで頼みました。どのお肉もめちゃくちゃ柔らかくて主人と2人で頬が緩みっぱなしでした。朝ごはんも2段重ねのお重で、すこしずつ色々なお料理を味わえ私も主人も大満足！従業員の方も若い方が多かった気がしますが、どなたもとても丁寧で気持ち良く宿泊出来ました。私の中ではまた宿泊したいお宿Ｎｏ．1です。
18,5,5,4,4,5,5,夫婦2人旅,露天風呂付き部屋に宿泊させていただきました。思った以上に素敵なホテルでした。部屋が広く綺麗で部屋の露天風呂の設備もとても使いやすく、思いっきり足を伸ばして入れました。温泉の温度調節もできて何度も入浴しました。大浴場に入った時は幼児用のイスが、何気なくおいてあったり、所々細かい気遣いができてるホテルだなと感じました。従業員の皆様もとても感じが良く、食事も美味しく箱根に来た時は、また宿泊したいと思います。
19,5,5,5,5,5,4,ゆっくり家族で過ごすのにおすすめ,家族でゆっくり過ごそうということで、箱根のホテルを調べていました。客室露天風呂付のホテルに泊まったことがなく、一度は宿泊してみたいと思い、お伺いしました。子供もまだ未就学児でしたが、落ち着いて過ごせるホテルであり、スタッフの方に親切に対応頂きました。自然の中ということもあり、多少虫がいたりはありましたが、気になる程ではなく、全体的に清潔感を感じ取れました。また宿泊したいと思います。
20,4,5,5,5,4,4,ご飯が最高,食べきれない量のご飯、美味しすぎました。特に、お肉は口の中でとろけました。温泉も気持ちよく、お部屋のお風呂も温度調整でき、小さい子どもにはとてもありがたかったです。
21,5,5,4,5,5,4,心が癒される気づかいが大変良いホテル,結婚記念日20周年で行かせていただきました、予約確認の際、記念日と軽く伝えただけでしたが仲居さん等がおめでとうなどなど言ってくれ夫婦共に感動致しました、また利用したいと思います。
22,5,5,5,5,5,5,誕生日に,彼氏の誕生日に予約させて頂きました！電話で、ケーキを頼んだ際もご丁寧に対応して頂き、無事お祝いすることが出来ました。夜ご飯も朝ごはんも充実しすぎていました。卓球もさせて頂きました。大浴場には１回、個室の方では4回？ほど入らせて頂きましたが、最高でした～。川の音も聞こえてリラックス出来ました。スタッフさんも優しくてまた来たいです！ありがとうございました
23,5,5,5,5,5,5,しっかりくつろげました。そして相州牛・・,車で宿に着いてから帰りにホテルを出るまで、全くストレス無く自然に過ごすことが出来ました。お部屋は設備も新しく不足が有りません。なんと浴衣も部屋の中に男女別に全サイズ完備、部屋露天は充分な広さ、夕飯のメインである相州牛は私は初めて食べましたが柔らかく本当に美味しかったです。溜まっていた疲れを癒やそうと急遽出掛けましたが、期待以上でしっかりリフレッシュ出来ました。そしてあの相州牛を食べに、またいつかリピートしたいです。ありがとうございました。
24,4,5,5,5,5,5,ゆったり時間,今回で何回目かは忘れましたが、数年振りですがお伺い致しました。大きなホテルですが、部屋は以前と同じフロアで、迷子にならなくて良かった(笑)夕食は、多すぎるくらいの量で驚きです。少し残してしまったのが、大変申し訳ないです。部屋は、水回りの場所が気になりました。(トイレの位置)とにかく、ゆったりとした時間を過ごせたのが、何よりで感謝です。従業員の方々は、気さくであり・丁寧であり・ユーモアのある方々で、フレンドリーさを感じました。大変お世話になりました。
25,5,5,5,5,5,5,隅々まで綺麗。,ホテル内は清掃が行き届いていて、宿泊した部屋も大変綺麗。水回りもスッキリしていて、気分良く過ごせました。室内露天風呂も大変気持ち良く何度も入りました。お世話になりました。
26,5,4,4,4,4,5,車いす対応,友人３人での１泊旅行。１名車いすを使用しての訪問でしたが、室内に腰高の椅子をご用意くださり、また食事処も入口から一番近い個室を用意してくださるなど、ご配慮いただきました。
27,5,4,5,5,5,5,大家族にもおすすめ,今回もリピートです。217号室二人には広過ぎる部屋でゆっくり出来ました。ただ源泉が熱いのかお風呂温度の調整が難しくめちゃくちゃ熱く水で薄めて冷ます時間がもったいないのが残念です。夕食最高で特に毎回頼むフルーツ盛りには毎回感動してます。仲居さん毎回毎回指名してます。次回も楽しみにしてます。有難う御座いました。
28,5,4,5,5,4,5,両親の結婚記念日で3世代旅行で利用しました,義両親への記念旅行のため息子夫婦からのプレゼントとして宿泊する為2ヶ月ほど前から近隣ホテルなども含めじゃらんで検討していました。普段から良い物を口にしている両親でしたので、食事はもちろんそれ意外に心に残る旅行になればと思い、口コミでサプライズが良いとあったのでこちらに決めて行きました。こちらからの食後のサプライズの依頼のメールにも迅速にお返事いただき、また当日は終日お気遣いいただきありがとうございました。想像以上の南風荘さんからのサプライズに感謝しております。フロントのスタッフのお声かけに始まり、食事のお手配をして下さったスタッフの方々のお心遣い、最後チェックアウト後に写真撮影をお願いしたスタッフの方、スタッフ一人一人のパーソナルな心遣いは3つ星を超える素晴らしいホテルでした。義両親もこんなに良いホテルに宿泊したのは初めてだと大感激でした。一見ベテランでしたが、応対に不慣れさがみえるスタッフがいましたが研修中と名札のあり納得。。たくさんの素晴らしい先輩スタッフに揉まれ、成長してくださるとさらに良いと思います。期待を込めて4。風呂に関しては利用した部屋やプランによるため仕方ないですが、連絡通路が5階のみのため別館から本館地下の大浴場利用の際に何度もエレベーターの利用が必須。またエレベーターが狭いので私たち夫婦と子供たちは何度か利用できず階段を使用しました。また、女湯の浴場から露天風呂へ行く際にも階段がある為、足腰の悪い高齢者の方で温泉に重きを置く利用にはあまりお勧めできないかもしれません。部屋に備え付けのプランや部屋の位置を気にされたほうが良いかもしれません。その為か、思っていたよりも若い世代の方の利用も多かった印象でした。総合的には大満足。また機会があれば利用したいです。
29,5,5,4,5,5,5,南風荘、箱根の定宿候補になりました。,30代半ばの夫婦、妻の出産前最後の旅行地として箱根を選択し、風呂付き露天風呂のあるお部屋を提供している旅館を調べつくし、海の幸がなくとも妻が満足できる美味しいご飯。客室の露天が小さすぎない。大浴場が広々としていて何度も入りたくなるかという3つの観点でこちらのプラン・お宿を選択、結果として大満足でした。特筆すべき点はまず、大浴場が最高に気持ちいい。その日男性が割り当てられていた「にの湯」を利用しましたが、一面大きなガラスが張られ、掃除も行き届き、洗い場もウソのように広く清潔で、初夏の箱根の鮮やかな緑を遠目に風呂を堪能できます。また露天も2種類あり、内側にある木の風呂と外側に張り出した岩風呂はいずれも背にした山の緑に包まれる感覚のあるお風呂です。宿泊中、特に岩風呂の方は、全裸で森林浴が楽しめる今回の宿泊でのお気に入りの特等席になりました。食事も朝晩共にボリュームがあり、食材の質の高さを感じるものでしたし、それぞれを担当してくださった仲居さん・男性スタッフ共に笑顔と気配りが素敵な方々。適度な距離感を保ってくださる接客もグッドでした。あと、地味におすすめなのが、本館4階にあるウッドデッキのようなバルコニーです。箱根の山々が見通せ、様々な色合いの緑に包まれてぼーっとするには最適なスポットですよ。※空いていたので私たちは良かったですが、ベンチ増やしてもいいかもしれませんよ？ビールやコーヒーが飲めてもいいですね。あそこで。今回は妊娠中の妻との旅行でしたので、露天付き客室で部屋食でしたが、あの大浴場と別館最上階にある眺望の良いレストランスペースを見るに、普通のプランでも十二分に楽しめる宿であることは間違いありません。風呂・飯・適度なホスピタリティ・行き届いた館内清掃…タイトルにも書きましたが、子供が生まれてからも伺いたいと感じる「定宿候補になる旅館」でした。この度は本当にありがとうございました。
30,4,5,5,5,5,5,夫婦でのんびり,露天風呂付きのお部屋に宿泊させていただきました。季節の素材を活かしたお食事が美味しいお宿で、数回利用させて頂いています。今回はお部屋食のプランが満室で、別個室食のプランです。お部屋も山側のお部屋で、部屋露天風呂は、時折、箱根新道を通る車の音が気になりますが、源泉かけ流しの温泉が適温。いつ入っても適温で感激です。山の緑も清々しく、癒やされます。別個室のお食事は、ご近所のお部屋のお子様が騒がしく残念でしたが、素材を活かしたお味は最高でした。翌日も11時まで、お部屋露天でのんびり。最高の骨休めが出来ました。感謝です。
31,4,4,4,3,5,5,箱根には度々訪れますが、初めてのお宿で,館内どこもとても綺麗でスタッフの方々も皆さんにこやかで、露天風呂付のお部屋にしたのですが、景色も良くのんびり過ごせました。ただお食事が朝食はまだ良かったのですが、夕食がお刺身の種類が多くそれでお腹いっぱいになり、他のお料理が美味しく感じず残念でした。でも最近バイキングが多く部屋食が少なくなってきていて、部屋でずっとのんびり過ごしたい私達にとってはありがたいお宿でした。部屋に露天風呂が付いているお部屋は内風呂が離れているのが難点です。大浴場は全て綺麗でした。又、予約しようと思うお宿です。
32,5,5,5,5,5,5,おもてなし  正に天下の名湯,息子が招待してくれて  このトシにして初めて箱根の地を訪れることができました。設備、接客、料理、全てにおいて最高のパフォーマンス。その中でもやはり接客が際立って良かったと思います。仲居さんの細かい心配り、フロントマンの明るい笑顔、電話応対の迅速さ。浴衣が我々２人分で16枚揃えられていたのにはビックリさせられました。皆  非の打ちどころがなく十二分に堪能させていただきました。天下の名湯、それはマンパワーも含めての評価なのだということがよくわかりました。因みに和洋室だったものですから襖を閉めてしまえば個室２部屋。息子と私では体感温度が違うので  それもありがたかったです。もちろん  再訪を夢にみている私です。
33,5,4,5,5,5,4,箱根での記念日に,箱根旅行と恋人の誕生日祝いを兼ねて訪れました。箱根湯本からの距離も近く、駐車場も広かったので良かったです。今回利用させていただいた露天風呂付客室のお風呂は清潔でリラックスできる綺麗な空間でした。露天風呂客室に宿泊すると、食事も個室でできて周りの目を気にせず楽しむことができました。食事は地元の食材も多く利用している点も良かったです。また、サプライズのお祝いをスタッフの方に手伝っていただきました。スタッフ内で申し送りもスムーズに行われているようで安心しました。現在建物全体的にリニューアル中のようで、リニューアルが完了しているエリアを新築のように綺麗な旅館でした。
34,4,4,4,4,4,4,箱根らしさを感じる、コスパ以上のホテルでした,少し奥まっていますが、緑が美しく、落ち着いた雰囲気のホテルでした。夕食、朝食共に、美味しかったです。コスパ良く、大満足で帰りました。
35,1,1,5,5,5,2,お料理とスタッフが最高！部屋は…,夫婦で利用。　到着からスタッフの皆さんはどなたも接客が素晴らしく、お料理はどれも美味しくとても満足でした！　ただ、別館のお部屋は他の方の口コミ通り、ベッド横の壁もカビ臭く、水回りの設備は古すぎて内風呂は黒かびだらけ、落ち着きませんでした…露天風呂、大浴場までの距離は部屋からかなりあるため、何度も入って楽しむ感じではなくなってしまいました。突然決めた旅行だったため、リーズナブルで箱根に泊まれることを考えたらお部屋のことも許容範囲かもしれませんが。。次回利用するならお料理とスタッフの皆さんはとても素晴らしかったので、露天付きのお部屋で利用してみたいです
36,5,5,5,5,5,5,妻に喜んでもらえました！,銀婚式&妻の誕生日祝で記念日プランを利用しました。当日まで妻には宿泊先はおろか、どのような部屋か、どのような食事かなど一切教えず内緒にしていましたので、露天風呂付きの客室でテンションは爆上げ、事前にお願いしたケーキのメッセージだけで無く、ちょっとした鯛や赤飯などの用意、記念撮影と写真など、サプライズやお心遣いの諸々に、妻にも大変喜んでもらえました。大浴場と客室の露天風呂で5回は入ったでしょうか、温泉を堪能させてもらいましたし、食事や従業員の方の温かい対応にも大満足です。ありがとうございました！
37,5,5,5,5,3,5,兄弟4組8人旅行,8人での個室での食事が最高に盛り上がり良かった、食事内容も良く満足でしたが今チックアウトを代表で行った際に部屋の鍵を2本だけ返し忘れてしまい旅先に連絡がありまた旅館に戻り返しに行く事象がありました。返し忘れたこちらのミスですが、精算の時に確認して頂ければ戻る事もなかったのかと思い残念でした。
38,4,5,5,4,5,4,朝食バイキングの品数の多さ☆,ゴールデンウイークでの家族旅行でお世話になりました。到着時から荷物運びなどお声かけ頂き　スムーズにチェックインすることができました。夕食時もスタッフの方が子供たちにも話しかけてくれたり気にかけてくれたのが嬉しかったです。お風呂も綺麗で熱すぎないので　ゆったり入ることが出来ました。そして何より一番の感動が翌日の朝食バイキングです。地の物があるのはもちろん　今まで食べたバイキングの中で一番の品揃えでした。目の前で卵焼きを作っていて出来立てを頂けたりフルーツ　スイーツも食べきれないほどの品数でした。おかげさまで思い出に残る家族旅行になりました。ありがとうございました。
39,4,4,5,5,5,4,落ち着いて過ごすことのできる宿,家族4人で利用させて頂きました。接客も心地よいし、食事も美味しかったです。開放感のある客室露天風呂とベランダ休憩スペースも最高。部屋内の説明書きにもありましたが、露天風呂はだいぶ熱めになっていて、最初は温度調整に手間取るかもしれません。(給湯、給水、温泉、3つの蛇口をひねって調整するタイプで、温泉から出るお湯の温度は若干不安定)朝風呂に入る頃には慣れてスムーズに調整できました。ゆっくり過ごすには最適の宿で、トータル大満足です。箱根湯本駅からバスが出ていて交通の便も良いので機会があればまた利用させて頂きます。
40,2,3,5,4,3,1,残念でした,かなり昔に利用したことがあり、箱根ならまた行ってみたいと思いこちらのホテルを選びました。昔の記憶とは程遠く、全てにおいて古さが目立ってしまい、かつ部屋の天井の照明には虫の死骸が入ったままになっており、到着してすぐにがっかりした気持ちになりました。ただ、別館はかなり残念な部屋でしたが本館は改装等で綺麗な状態なのかもしれません。少しずつ改装しているのかもしれませんが古くても衛生面は徹底した方が良いですし、最低限のマナーです。食事はとても美味しくいただきました。
41,5,5,5,4,5,5,2回目の利用,妻の誕生日旅行に利用させてもらいました。前回付き合って時に一度利用させてもらいいいイメージがあったのでもう一度利用させてもらいました。客室露天風呂の部屋に宿泊しましたがいつでも好きなタイミングで入れるので妻も喜んでいました。また誕生日のケーキも喜んで貰えたので大変満足な旅になりました。部屋やお風呂も清潔感があり夕食は部屋食でしたが子供が食べるものがあるか不安でしたが旅館のお気遣いもあり安心して食事ができました。朝食もフルーツが多かったのでフルーツが好きな子供は満足して貰えたと思います。また機会があれば利用さて貰いたいです。
42,5,4,4,4,5,5,川のせせらぎに癒されながらゆっくりできました,母が一度箱根に行ってみたいと言うので大阪から車でうかがいました。立地などわからずに予約をしてしまい、駅よりかなり登ったところにある事に驚きましたが、窓を開けると川と鳥の鳴き声が心地良く、夜まで網戸で過ごしました。お部屋の半露天風呂はとても気持ちよく入れました。食事は量もちょうど良く、美味しくいただきました。到着した時は、古いお宿かなと思いましたが、中は改装されていて、綺麗で過ごしやすかったです。また機会があれば宿泊したいと思います。
43,5,5,5,5,4,5,家族全員がほっとする場所です,子供たちが小学生のときから、お世話になっております。今では子供たちも中高生になりましたが、ホテルの皆様の接客が丁寧かつ距離感が心地よい、部屋の温泉が気持ちよい、あと料理が美味しく、どこか温泉に泊まりたいねというと、家族全員「南風荘！」となっています。
44,4,5,5,5,5,5,最高のホスピタリティ！,成人して別々に暮らす息子達と箱根で集合！久しぶりの家族旅行に利用しました。ツインと和室がつながった広い部屋に５人全員で泊まることが出来、一緒の時間を過ごせて嬉しかったです。お風呂も清潔で、脱衣場に床暖房が入っていたり、ドライヤーをかける場所が1人ずつ仕切られており、とても快適でした。何より食事が素晴らしく、夕飯の牛しゃぶは全員大感激でした。会話が弾み遅くまで食事会場に居てしまいましたが、スタッフさんは常に親切でした。朝食バイキングの種類が豊富で、どれも美味しく楽しめました。最上階のレストランから新緑が楽しめて、箱根旅行の良いスタートを切れました。
45,2,4,5,5,4,3,ゴールデンウィーク,夏にも旅行に行くので、GWは予算を抑えてこちらの別館にしました。夕ご飯も食べきれないほどの量と、お肉もお魚も美味しくコスパとても良かったです。朝も色々選べてバイキングとても良かったです。ただ残念なところが部屋の埃。押入れの中も隅に埃たまっていてそこにしまってある布団で寝るのも嫌でした。あとベットが置いてあるカーペットの床も隅に埃が目視できたので、換気できる窓ではないため辛かったなぁというとそろです。お風呂も気持ちよく露天風呂が離れてるところはマイナスポイントですが、構造的にしょうがないのかな？ったところでした。ただお掃除は、改善できると思うのでもう少し頑張ってもらいたいところでした。
46,5,3,3,5,4,5,露天風呂付き部屋が最高,温泉露天風呂付のお部屋で7年ぶり2度目でお世話になりました。前回は1階の手前の部屋で、今回は3階の一番奥でした、どちらも広い部屋でしたが、今回はエレベーターが遠く大風呂には一度行きましたが、近くの階段を4階分昇り降りは厳しかったです。でも、部屋の温泉風呂には洗い場も仕切られてちゃんと有り、清潔でいつでもベストな湯加減でした。食事は（朝、夜）美味しいものばかりでしたが、量と品数が多く、お酒がお腹に入らないほどです。当日は結婚記念日で、嫁に内緒でケーキを食後部屋に届けてもらいましたが、食事処から土産コーナーに寄って部屋に戻ると、部屋付の担当さんの届けるタイミングが絶妙で、ご苦労とお手間を掛けてしまい、お気遣いに感謝しております。部屋担当者さんと他スタッフさんのお陰様で、10年目のお祝いがとても良い思い出になりました。その後、子供と3人でゆっくり美味しく食べることができました。また、お世話になりたいと思うお宿です。
47,5,5,5,5,5,5,料理良しサービス良し風呂も良し,連泊でのんびり出来ました。夕食美味しかったです。白米甘さが有り美味しかった、私は白米だけで一杯食べたてしまいました。家内には夕食の量が多くて残さず食べるのに時間が掛かっていました。朝食も美味しく種類が沢山有り満足しました。私は神奈川県内在住でこの宿迄1時間30分位で来れますが、今回は此方を拠点に箱根、熱海、小田原と楽しめ電車バスの移動も楽でした。またお世話になりたいと思います。
48,5,5,5,5,5,5,仲居さん,家族4人で和室の露天風呂付きのお部屋にお泊まりしました。お部屋のお食事も仲居さんが素早くお話ししながら支度してくれて、1つ1つの動作も素敵でした！笑顔も良く、お話しも楽しく、、また泊まりに行ってあの仲居さんがいいなって思いました。ご飯は朝も夜も美味しかったです。いい家族旅行でした
49,4,5,5,5,5,4,子連れにおすすめ！,接客はとってもよかったです！少し残念は部屋のトイレが狭かったかなっと思いましたがそれ以外は大大大満足です！
50,5,4,5,5,5,5,2回目の宿泊,GW2年ぶりに家族で宿泊しました。前回利用させていただいたときに、家族揃って大変満足で機会があればまた是非と思っていました。前回同様、大変綺麗で隅々まできちんと掃除がされている感じがしてとても清潔感のあるお部屋でした。また、夕朝食ともどれも美味しくて食べ終わるのが勿体無いくらい大満足、またスタッフの方どの方もとても感じがよく気持ちの良い対応をしていただきました。お部屋に素晴らしい露天風呂がついていたためほとんど部屋で探しましたが大満足の旅行となりました。また3回目もお世話になろうと思っています。
